sid,indent,validity_start_date
27739,7,1993-01-01
27740,6,1993-01-01
27741,7,1993-01-01
27742,7,1993-01-01
27743,4,1993-01-01
27744,5,1993-01-01
27745,5,1993-01-01
27746,6,1993-01-01
27747,6,1993-01-01
27748,6,1993-01-01
27749,6,1993-01-01
27750,4,1993-01-01
27751,5,1993-01-01
27752,6,1993-01-01
27753,6,1993-01-01
27754,5,1993-01-01
27755,6,1993-01-01
27756,7,1993-01-01
27757,7,1993-01-01
27758,6,1993-01-01
27759,7,1993-01-01
27760,7,1993-01-01
27761,2,1972-01-01
27762,0,1972-01-01
27763,1,1972-01-01
27764,1,1972-01-01
27765,2,1972-01-01
27766,3,1972-01-01
27767,3,1972-01-01
27768,2,1972-01-01
27769,3,1989-01-01
27770,4,1972-01-01
27771,4,1972-01-01
27772,3,1972-01-01
27773,0,1972-01-01
27774,1,1972-01-01
27775,2,1972-01-01
27776,2,1993-01-01
27777,3,1993-01-01
27778,3,1993-01-01
27779,2,1972-01-01
27780,1,1972-01-01
27781,2,1972-01-01
27782,2,1972-01-01
27783,0,1972-01-01
27784,1,1972-01-01
27785,2,1972-01-01
27786,3,1993-01-01
27787,4,1993-01-01
27788,4,1993-01-01
27789,3,1993-01-01
27790,4,1993-01-01
27791,4,1993-01-01
27792,2,1972-01-01
27793,3,1972-01-01
27794,3,1972-01-01
27795,1,1972-01-01
27796,2,1972-01-01
27797,2,1972-01-01
27798,3,1972-01-01
27799,3,1972-01-01
27800,3,1972-01-01
27801,3,1972-01-01
27802,0,1972-01-01
27803,1,1972-01-01
27804,1,1972-01-01
27805,1,1993-01-01
27806,1,1972-01-01
27807,2,1972-01-01
27808,2,1972-01-01
58823,2,1995-06-08
58824,2,1995-06-08
59201,2,1996-01-01
59202,3,1996-01-01
59203,1,1996-01-01
59204,2,1996-01-01
59205,2,1996-01-01
72760,1,2002-01-01
72761,2,2002-01-01
72762,2,2002-01-01
72763,1,2002-01-01
72764,2,2002-01-01
72765,3,2002-01-01
72766,3,2002-01-01
72767,2,2002-01-01
72768,2,2002-01-01
72769,1,2002-01-01
72770,2,2002-01-01
72771,2,2002-01-01
72772,2,2002-01-01
72773,3,2002-01-01
72774,3,2002-01-01
72775,1,2002-01-01
72776,1,2002-01-01
72777,2,2002-01-01
72778,2,2002-01-01
72779,2,2002-01-01
72780,3,2002-01-01
72781,3,2002-01-01
72782,1,2002-01-01
74400,5,2001-07-01
74776,3,2002-01-01
74778,3,2002-01-01
85304,1,2007-01-01
85305,2,2007-01-01
93796,2,2012-01-01
93797,1,2012-01-01
93798,2,2012-01-01
93799,3,2012-01-01
93800,3,2012-01-01
93801,1,2012-01-01
94047,2,2012-01-01
94048,3,2012-01-01
94049,3,2012-01-01
94050,3,2012-01-01
94051,2,2012-01-01
94052,2,2012-01-01
94053,1,2012-01-01
94054,1,2012-01-01
94055,2,2012-01-01
94056,2,2012-01-01
94057,3,2012-01-01
94057,4,2013-01-01
94058,4,2012-01-01
94058,5,2013-01-01
94059,4,2012-01-01
94059,5,2013-01-01
94060,4,2012-01-01
94060,5,2013-01-01
94061,4,2012-01-01
94061,5,2013-01-01
94062,4,2012-01-01
94062,5,2013-01-01
94063,4,2012-01-01
94063,5,2013-01-01
94064,3,2012-01-01
94064,4,2013-01-01
94065,4,2012-01-01
94065,5,2013-01-01
94066,4,2012-01-01
94066,5,2013-01-01
94067,5,2012-01-01
94067,6,2013-01-01
94068,5,2012-01-01
94068,6,2013-01-01
94069,5,2012-01-01
94069,6,2013-01-01
94070,5,2012-01-01
94070,6,2013-01-01
94071,5,2012-01-01
94071,6,2013-01-01
94072,5,2012-01-01
94072,6,2013-01-01
94073,3,2012-01-01
94073,4,2013-01-01
94074,4,2012-01-01
94074,5,2013-01-01
94075,4,2012-01-01
94075,5,2013-01-01
94076,5,2012-01-01
94076,6,2013-01-01
94077,5,2012-01-01
94077,6,2013-01-01
94078,5,2012-01-01
94078,6,2013-01-01
94079,5,2012-01-01
94079,6,2013-01-01
94080,5,2012-01-01
94080,6,2013-01-01
94081,5,2012-01-01
94081,6,2013-01-01
94082,3,2012-01-01
94082,4,2013-01-01
94083,4,2012-01-01
94083,5,2013-01-01
94084,5,2012-01-01
94084,6,2013-01-01
94085,6,2012-01-01
94085,7,2013-01-01
94086,6,2012-01-01
94086,7,2013-01-01
94087,5,2012-01-01
94087,6,2013-01-01
94088,6,2012-01-01
94088,7,2013-01-01
94089,7,2012-01-01
94089,8,2013-01-01
94090,7,2012-01-01
94090,8,2013-01-01
94091,6,2012-01-01
94091,7,2013-01-01
94092,7,2012-01-01
94092,8,2013-01-01
94093,7,2012-01-01
94093,8,2013-01-01
94094,6,2012-01-01
94094,7,2013-01-01
94095,7,2012-01-01
94095,8,2013-01-01
94096,7,2012-01-01
94096,8,2013-01-01
94097,6,2012-01-01
94097,7,2013-01-01
94098,7,2012-01-01
94098,8,2013-01-01
94099,7,2012-01-01
94099,8,2013-01-01
94100,4,2012-01-01
94100,5,2013-01-01
94101,5,2012-01-01
94101,6,2013-01-01
94102,5,2012-01-01
94102,6,2013-01-01
94103,6,2012-01-01
94103,7,2013-01-01
94104,6,2012-01-01
94104,7,2013-01-01
94105,6,2012-01-01
94105,7,2013-01-01
94106,6,2012-01-01
94106,7,2013-01-01
94118,4,2012-01-01
94118,5,2013-01-01
94119,5,2012-01-01
94119,6,2013-01-01
94120,6,2012-01-01
94120,7,2013-01-01
